smiles,D
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)Nc3ccc(C)nc3)ccc21,-5.1
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCCC3)ccc21,-5.197
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCN(C)CC3)ccc21,-6.268
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCN(Cc4ccccc4)CC3)ccc21,-5.186
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCOCC3)ccc21,-5.413
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)Nc3cncc(C)c3)ccc21,-5.191
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N(C)Cc3ccccc3)ccc21,-5.173
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3C4CCC3CC(O)C4)ccc21,-6.824
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CC(O)C3)ccc21,-8.0
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCC(Cc4ccccc4)CC3)ccc21,-5.611
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCC(CCO)CC3)ccc21,-6.377
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCC(CO)CC3)ccc21,-6.77
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCCC(CO)C3)ccc21,-6.569
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCCC3)ccc21,-5.192
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCCC3CO)ccc21,-6.319
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(C(C)C)CC3)ccc21,-5.343
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(C)CC3)ccc21,-5.928
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(c4ccccn4)CC3)ccc21,-5.074
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(c4ncccn4)CC3)ccc21,-5.058
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(Cc4ccc(F)cc4)CC3)ccc21,-5.271
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(CCN(C)C)CC3)ccc21,-6.77
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(CCO)CC3)ccc21,-7.046
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCNC(=O)C3)ccc21,-7.301
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCOCC3)ccc21,-5.432
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC(C)C)ccc21,-5.206
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC(C)CO)ccc21,-6.959
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC(CO)C(C)C)ccc21,-6.796
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC(CO)c3ccccc3)ccc21,-6.658
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC(CO)CC(C)C)ccc21,-6.102
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC3CC3)ccc21,-5.593
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)Nc3cccc(Cl)c3)ccc21,-6.194
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)Nc3ccncc3)ccc21,-6.174
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NC3CCOCC3)ccc21,-6.125
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)Nc3cncc(C)c3)ccc21,-5.606
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)Nc3cnccc3C)ccc21,-5.488
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NCC(O)CO)ccc21,-7.523
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)NCCCCCO)ccc21,-6.569
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N(C)CC(O)CO)ccc21,-5.788
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N(C)CCO)ccc21,-5.376
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N(CCO)Cc3ccccc3)ccc21,-5.52
