system	goal	target_eV_per_A	success	actual_error_eV_per_A	adaptive_cost_s	final_Ecut_Ha	final_kgrid_n	final_scf_tol	control_steps	stringent_reference_time_s	uniform_success	uniform_actual_error_eV_per_A	uniform_cost_s	uniform_over_adaptive_speedup
Si_displaced	force	0.05	true	0.02581332290750326	33.206050540999996	30.0	4	1.0e-5	3	238.856484152	true	0.01035992253508224	50.731052813000005	1.5277653315127504
Si_displaced	force	0.02	true	0.010377456341357942	62.165220493999996	30.0	5	1.0e-5	4	238.856484152	true	0.004297926321179456	137.283669792	2.2083677770474606
MgO_displaced	force	0.05	true	0.043058219984356626	6.790831548	34.0	2	1.0e-5	1	244.230188035	true	0.0012827609369713037	23.474964604	3.4568615696134772
MgO_displaced	force	0.02	true	0.004873040243834393	39.690820927000004	34.0	4	1.0e-5	3	244.230188035	true	0.0012827609369713037	23.474964604	0.5914456807828574
TiO2_displaced	force	0.05	true	0.0056050991955331544	2865.896892257	37.76	5	1.0e-5	5	3046.670089452	true	0.005599332966938528	1648.093807612	0.5750708659703612
TiO2_displaced	force	0.02	true	0.0056050991955331544	2865.896892257	37.76	5	1.0e-5	5	3046.670089452	true	0.001536555076040271	4588.936982356	1.601221940242952
