温度_C,方法,方程,k_L_mol^-1_min^-1,活化能_kJ_mol^-1,R2,RMSE_uS_cm^-1,MAE_uS_cm^-1,SSE,max_abs_residual_uS_cm^-1,max_abs_residual_time_min,说明
28.0,线性拟合,(κ0-κt)/(κt-κ∞)=c0·k·t,8.9694749034973,55.882276832237174,0.9995473539615977,6.390583604109953,5.306362970531518,408.3955880111895,13.184983048981394,15.0,κ0和κ∞采用实验报告中符号回归得到的端点参数，用于复现实验报告中的线性化处理。
28.0,非线性拟合,κ(t)=B/(1+A·t)+C,8.576805349228641,59.356839332943196,0.9997331098051673,4.907128924645597,4.207347961695428,240.79914283093447,9.479096387404411,35.0,直接在原始电导率尺度上同时优化B、A和C。
28.0,符号回归,κ(t)=1522.42/(1+0.0889386·t)+601.712,8.89386,56.53681476027776,0.9996879992936831,5.305654278858521,3.7841781987723606,281.49967326769735,11.87371993587908,35.0,采用实验报告中已经获得的符号回归表达式，保证复算稳定。
38.0,线性拟合,(κ0-κt)/(κt-κ∞)=c0·k·t,18.3770881467101,55.882276832237174,0.9983325745914641,12.13335649909869,8.538041564497552,1472.1833993422044,27.103313044888182,4.0,κ0和κ∞采用实验报告中符号回归得到的端点参数，用于复现实验报告中的线性化处理。
38.0,非线性拟合,κ(t)=B/(1+A·t)+C,18.374003905111124,59.356839332943196,0.9983326074024765,12.133237120544276,8.531530405454191,1472.1544302335353,27.16695446116887,4.0,直接在原始电导率尺度上同时优化B、A和C。
38.0,符号回归,κ(t)=1575.49/(1+0.183759·t)+955.877,18.3759,56.53681476027776,0.9983325653436315,12.133390145909273,8.541518214381744,1472.1915643284826,27.078440694026085,4.0,采用实验报告中已经获得的符号回归表达式，保证复算稳定。
