time_min,optical_rotation_deg,线性拟合_prediction,线性拟合_residual,非线性拟合_prediction,非线性拟合_residual,符号回归_prediction,符号回归_residual
5.0,10.924,10.916413660613975,0.007586339386024932,10.918095069196205,0.005904930803794173,10.917565964665409,0.00643403533459086
10.0,9.0332,9.043149737508516,-0.009949737508515355,9.04379218716695,-0.01059218716694943,9.039309132096252,-0.006109132096250747
15.0,7.414,7.4058386725970955,0.008161327402904206,7.40579368930867,0.008206310691329932,7.398246251243808,0.0157537487561914
20.0,5.955,5.974760280377158,-0.019760280377157713,5.97430729257373,-0.019307292573730095,5.964423500162425,-0.009423500162425213
25.0,4.741,4.723937874929357,0.017062125070642864,4.723296802199954,0.0177031978000457,4.7116697480023095,0.029330251997690127
30.0,3.632,3.630666745635578,0.0013332543644222206,3.6300085595768485,0.0019914404231515803,3.617118861313127,0.014881138686873019
35.0,2.675,2.6751020252231736,-0.00010202522317381835,2.674557593613486,0.00044240638651382724,2.660792335460542,0.014207664539457987
40.0,1.843,1.8398984691879257,0.0031015308120743157,1.8395659484366846,0.0034340515633153323,1.8252346330537979,0.01776536694620212
45.0,1.098,1.109895607934459,-0.011895607934458985,1.1098466092426755,-0.011846609242675443,1.0951945733275323,0.002805426672467748
50.0,0.474,0.4718425565705866,0.002157443429413375,0.47212727747500116,0.0018727225249988155,0.4573469569750106,0.016653043024989378
55.0,-0.083,-0.08584251284915423,0.0028425128491542245,-0.08519102871022666,0.002191028710226653,-0.09995065466447217,0.016950654664472167
