system	method	energy_deviation_from_vanilla_meV_per_atom	inner_scf_time_s	total_wall_time_s	converged
Si2_HSE06	Vanilla_EXX	0.0	14.773760394	14.84562395	true
Si2_HSE06	ACE_occupied	0.0002117533988451248	5.364869785	5.438812451	true
Si2_HSE06	ACE_full	0.00020609181557744037	6.281838595	6.35201926	true
Si2_HSE06	AdaptiveEXX	0.00026981323083679135	7.650516148	7.723801782	true
MgO2_HSE06	Vanilla_EXX	0.0	16.798253314	16.853817553	true
MgO2_HSE06	ACE_occupied	0.0004442820487157818	4.54121065	4.596787365	true
MgO2_HSE06	ACE_full	0.001396390720009027	5.274798891	5.330259547	true
MgO2_HSE06	AdaptiveEXX	0.000657689133354638	5.511273461	5.566336321	true
