system	functional	call	action	probe_defect	probe_stderr	defect_score	full_defect	replicate_defect	energy_defect_Ha	ace_rank	operator_memory_MiB	exx_call_time_s	probes_used
Si2	PBE0	1	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	4	0.18193817138671875	0.040451058	0
Si2	PBE0	2	rebuild	0.006904682732289549	0.0	0.006904682732289549	NaN	NaN	NaN	4	0.18193817138671875	0.449053707	1
Si2	PBE0	3	reuse	0.0016671580161082026	0.0	0.0016671580161082026	NaN	NaN	NaN	4	0.18193817138671875	0.026606834	1
Si2	PBE0	4	reuse	0.0023141894318775415	0.0	0.0023141894318775415	NaN	NaN	NaN	4	0.18193817138671875	0.012632705	1
Si2	PBE0	5	reuse	0.0022576437430875153	0.0	0.0022576437430875153	NaN	NaN	NaN	4	0.18193817138671875	0.00922971	1
Si2	PBE0	6	reuse	0.002232988572826707	0.0	0.002232988572826707	NaN	NaN	NaN	4	0.18193817138671875	0.010600648	1
Si2	PBE0	7	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	4	0.18193817138671875	0.031921833	0
Si2	PBE0	8	reuse	0.00043432970171254073	0.0	0.00043432970171254073	NaN	NaN	NaN	4	0.18193817138671875	0.009026376	1
Si2	PBE0	9	reuse	0.0004327357422269358	0.0	0.0004327357422269358	NaN	NaN	NaN	4	0.18193817138671875	0.00930244	1
Si2	PBE0	10	reuse	0.00043368377555544715	0.0	0.00043368377555544715	NaN	NaN	NaN	4	0.18193817138671875	0.019788055	1
Si2	PBE0	11	reuse	0.00043501874093297	0.0	0.00043501874093297	NaN	NaN	NaN	4	0.18193817138671875	0.009193642	1
Si2	PBE0	12	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	4	0.18193817138671875	0.030340773	0
Si2	PBE0	13	reuse	8.83757283002284e-5	0.0	8.83757283002284e-5	NaN	NaN	NaN	4	0.18193817138671875	0.009131474	1
Si2	PBE0	14	reuse	8.908071387090639e-5	0.0	8.908071387090639e-5	NaN	NaN	NaN	4	0.18193817138671875	0.010012687	1
Si2	PBE0	15	reuse	8.975589912120214e-5	0.0	8.975589912120214e-5	NaN	NaN	NaN	4	0.18193817138671875	0.010044825	1
Si2	PBE0	16	reuse	9.031218924400511e-5	0.0	9.031218924400511e-5	NaN	NaN	NaN	4	0.18193817138671875	0.010287234	1
Si2	PBE0	17	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	4	0.18193817138671875	0.237752539	0
Si2	PBE0	18	reuse	1.9127555280366825e-5	0.0	1.9127555280366825e-5	NaN	NaN	NaN	4	0.18193817138671875	0.01972917	1
Si2	PBE0	19	reuse	1.943897574407544e-5	0.0	1.943897574407544e-5	NaN	NaN	NaN	4	0.18193817138671875	0.012457712	1
Si2	PBE0	20	reuse	1.9690095306860338e-5	0.0	1.9690095306860338e-5	NaN	NaN	NaN	4	0.18193817138671875	0.009260178	1
Si2	PBE0	21	reuse	1.9882590899913002e-5	0.0	1.9882590899913002e-5	NaN	NaN	NaN	4	0.18193817138671875	0.009189497	1
Si2	PBE0	22	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	4	0.18193817138671875	0.037035218	0
Si2	PBE0	23	reuse	4.458171444570285e-6	0.0	4.458171444570285e-6	NaN	NaN	NaN	4	0.18193817138671875	0.00917477	1
Si2	PBE0	24	reuse	4.553865564676845e-6	0.0	4.553865564676845e-6	NaN	NaN	NaN	4	0.18193817138671875	0.010300764	1
Si2	PBE0	25	reuse	4.629538727546061e-6	0.0	4.629538727546061e-6	NaN	NaN	NaN	4	0.18193817138671875	0.009351275	1
Si2	PBE0	26	reuse	4.68754347705457e-6	0.0	4.68754347705457e-6	NaN	NaN	NaN	4	0.18193817138671875	0.009602713	1
