system	functional	call	action	probe_defect	probe_stderr	defect_score	full_defect	replicate_defect	energy_defect_Ha	ace_rank	operator_memory_MiB	exx_call_time_s	probes_used
Si2_HSE06	HSE06	38	reuse	8.257374906266402e-6	0.0	8.257374906266402e-6	NaN	NaN	NaN	4	0.18193817138671875	0.009427719	1
Si2_HSE06	HSE06	39	reuse	9.154563512290071e-6	0.0	9.154563512290071e-6	NaN	NaN	NaN	4	0.18193817138671875	0.009216375	1
MgO2_HSE06	HSE06	1	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.058341378	0
MgO2_HSE06	HSE06	2	rebuild	0.003537202398938088	0.0	0.003537202398938088	NaN	NaN	NaN	8	0.24388885498046875	0.065547042	1
MgO2_HSE06	HSE06	3	reuse	0.001167917665976389	0.0	0.001167917665976389	NaN	NaN	NaN	8	0.24388885498046875	0.009670698	1
MgO2_HSE06	HSE06	4	reuse	0.0012748902419329868	0.0	0.0012748902419329868	NaN	NaN	NaN	8	0.24388885498046875	0.00957398	1
MgO2_HSE06	HSE06	5	reuse	0.0012827138944719605	0.0	0.0012827138944719605	NaN	NaN	NaN	8	0.24388885498046875	0.009683118	1
MgO2_HSE06	HSE06	6	reuse	0.0011904718498317042	0.0	0.0011904718498317042	NaN	NaN	NaN	8	0.24388885498046875	0.009529011	1
MgO2_HSE06	HSE06	7	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.061082943	0
MgO2_HSE06	HSE06	8	reuse	0.0005864545804005625	0.0	0.0005864545804005625	NaN	NaN	NaN	8	0.24388885498046875	0.009677632	1
MgO2_HSE06	HSE06	9	reuse	0.0005564476518147035	0.0	0.0005564476518147035	NaN	NaN	NaN	8	0.24388885498046875	0.009761794	1
MgO2_HSE06	HSE06	10	reuse	0.000517839471493762	0.0	0.000517839471493762	NaN	NaN	NaN	8	0.24388885498046875	0.010369185	1
MgO2_HSE06	HSE06	11	reuse	0.0005060198253491417	0.0	0.0005060198253491417	NaN	NaN	NaN	8	0.24388885498046875	0.010497449	1
MgO2_HSE06	HSE06	12	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.061670304	0
MgO2_HSE06	HSE06	13	reuse	0.00020504881754464913	0.0	0.00020504881754464913	NaN	NaN	NaN	8	0.24388885498046875	0.010644974	1
MgO2_HSE06	HSE06	14	reuse	0.00020960825731131515	0.0	0.00020960825731131515	NaN	NaN	NaN	8	0.24388885498046875	0.010735014	1
MgO2_HSE06	HSE06	15	reuse	0.00019111907972101715	0.0	0.00019111907972101715	NaN	NaN	NaN	8	0.24388885498046875	0.009193652	1
MgO2_HSE06	HSE06	16	reuse	0.00019073605640421715	0.0	0.00019073605640421715	NaN	NaN	NaN	8	0.24388885498046875	0.009574015	1
MgO2_HSE06	HSE06	17	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.057575214	0
MgO2_HSE06	HSE06	18	reuse	8.026588402836037e-5	0.0	8.026588402836037e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009445818	1
MgO2_HSE06	HSE06	19	reuse	7.800749245638036e-5	0.0	7.800749245638036e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010909939	1
MgO2_HSE06	HSE06	20	reuse	7.562910132798062e-5	0.0	7.562910132798062e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010789075	1
MgO2_HSE06	HSE06	21	reuse	7.928625192918529e-5	0.0	7.928625192918529e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010819223	1
MgO2_HSE06	HSE06	22	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.060063346	0
MgO2_HSE06	HSE06	23	reuse	5.2911624781689826e-5	0.0	5.2911624781689826e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010376334	1
MgO2_HSE06	HSE06	24	reuse	9.478679777500615e-5	0.0	9.478679777500615e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009671259	1
MgO2_HSE06	HSE06	25	reuse	3.0429457061619922e-5	0.0	3.0429457061619922e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010418966	1
MgO2_HSE06	HSE06	26	reuse	4.91040406401397e-5	0.0	4.91040406401397e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010405522	1
MgO2_HSE06	HSE06	27	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.060374216	0
MgO2_HSE06	HSE06	28	reuse	4.57992304561459e-5	0.0	4.57992304561459e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009758148	1
MgO2_HSE06	HSE06	29	reuse	4.212987029957094e-5	0.0	4.212987029957094e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009956778	1
MgO2_HSE06	HSE06	30	reuse	6.833055169891265e-5	0.0	6.833055169891265e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010671334	1
MgO2_HSE06	HSE06	31	reuse	4.682814344219433e-5	0.0	4.682814344219433e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010651837	1
MgO2_HSE06	HSE06	32	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.051569668	0
MgO2_HSE06	HSE06	33	reuse	6.778641968903305e-6	0.0	6.778641968903305e-6	NaN	NaN	NaN	8	0.24388885498046875	0.009531313	1
MgO2_HSE06	HSE06	34	reuse	6.6543697306466845e-6	0.0	6.6543697306466845e-6	NaN	NaN	NaN	8	0.24388885498046875	0.009476308	1
MgO2_HSE06	HSE06	35	reuse	9.663142057212914e-6	0.0	9.663142057212914e-6	NaN	NaN	NaN	8	0.24388885498046875	0.009410716	1
MgO2_HSE06	HSE06	36	reuse	5.4691618119954894e-5	0.0	5.4691618119954894e-5	NaN	NaN	NaN	8	0.24388885498046875	0.011094239	1
MgO2_HSE06	HSE06	37	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	8	0.24388885498046875	0.060533808	0
MgO2_HSE06	HSE06	38	reuse	1.4679450672408253e-5	0.0	1.4679450672408253e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009966989	1
MgO2_HSE06	HSE06	39	reuse	5.682294738834472e-5	0.0	5.682294738834472e-5	NaN	NaN	NaN	8	0.24388885498046875	0.010456844	1
MgO2_HSE06	HSE06	40	reuse	3.178740636444825e-5	0.0	3.178740636444825e-5	NaN	NaN	NaN	8	0.24388885498046875	0.009500082	1
