system	method	evaluation	accepted_iteration	density_residual	elapsed_s
Si2_HSE06	AdaptiveEXX	7	7	0.0011693527259690293	1.156578617
Si2_HSE06	AdaptiveEXX	8	8	0.0008050643745342871	1.321927628
Si2_HSE06	AdaptiveEXX	9	9	0.0005554545006464083	1.48889828
Si2_HSE06	AdaptiveEXX	10	10	0.00038396201819113437	1.65425349
Si2_HSE06	AdaptiveEXX	11	11	0.00026585405700720716	2.027872858
Si2_HSE06	AdaptiveEXX	12	12	0.00030792154221614184	2.224048244
Si2_HSE06	AdaptiveEXX	13	13	0.0002148171655926688	2.39443712
Si2_HSE06	AdaptiveEXX	14	14	0.00015005310968845746	2.559469114
Si2_HSE06	AdaptiveEXX	15	15	0.00010493452781257583	2.724173861
Si2_HSE06	AdaptiveEXX	16	16	7.345692062268057e-5	2.889340171
Si2_HSE06	AdaptiveEXX	17	17	9.352222867203597e-5	3.096772459
Si2_HSE06	AdaptiveEXX	18	18	6.568656648030302e-5	3.277110499
Si2_HSE06	AdaptiveEXX	19	19	4.6198533606239185e-5	3.451092369
Si2_HSE06	AdaptiveEXX	20	20	3.252797389472885e-5	3.630975643
Si2_HSE06	AdaptiveEXX	21	21	2.29248750104172e-5	3.805701435
Si2_HSE06	AdaptiveEXX	22	22	3.163150696204145e-5	4.217803086
Si2_HSE06	AdaptiveEXX	23	23	2.224338842856419e-5	4.401617139
Si2_HSE06	AdaptiveEXX	24	24	1.567314351495428e-5	4.587822526
Si2_HSE06	AdaptiveEXX	25	25	1.1064299111026708e-5	4.773102854
Si2_HSE06	AdaptiveEXX	26	26	7.819760110254643e-6	4.957738702
Si2_HSE06	AdaptiveEXX	27	27	1.1494346473767713e-5	5.170208432
Si2_HSE06	AdaptiveEXX	28	28	8.06054260659148e-6	5.359444685
Si2_HSE06	AdaptiveEXX	29	29	5.6710664186608125e-6	5.5462643
Si2_HSE06	AdaptiveEXX	30	30	4.0028075319842476e-6	5.740222765
Si2_HSE06	AdaptiveEXX	31	31	2.826541120174497e-6	5.936314459
Si2_HSE06	AdaptiveEXX	32	32	4.328571498181116e-6	6.152141086
Si2_HSE06	AdaptiveEXX	33	33	3.0256893620871523e-6	6.361607742
Si2_HSE06	AdaptiveEXX	34	34	2.123765084139349e-6	6.696194721
Si2_HSE06	AdaptiveEXX	35	35	1.4956776515338225e-6	6.864884399
Si2_HSE06	AdaptiveEXX	36	36	1.0561373046507834e-6	7.037378732
Si2_HSE06	AdaptiveEXX	37	37	1.6555092926140304e-6	7.250924073
Si2_HSE06	AdaptiveEXX	38	38	1.1544844528764005e-6	7.451224656
Si2_HSE06	AdaptiveEXX	39	39	8.087264707993985e-7	7.650516148
MgO2_HSE06	Vanilla_EXX	1	1	0.016806804589830065	0.239620613
MgO2_HSE06	Vanilla_EXX	2	2	0.013027465843023927	0.487229111
MgO2_HSE06	Vanilla_EXX	3	3	0.009162427351430726	1.025126707
MgO2_HSE06	Vanilla_EXX	4	4	0.005347392237022668	1.771624765
MgO2_HSE06	Vanilla_EXX	5	5	0.003190841847750536	2.269569132
MgO2_HSE06	Vanilla_EXX	6	6	0.0020871111771494848	2.76590519
MgO2_HSE06	Vanilla_EXX	7	7	0.0014314425930320909	3.220131807
MgO2_HSE06	Vanilla_EXX	8	8	0.0010014471717916481	3.920008047
MgO2_HSE06	Vanilla_EXX	9	9	0.0007063519469392235	4.411697814
MgO2_HSE06	Vanilla_EXX	10	10	0.0004930606494607952	4.905128742
MgO2_HSE06	Vanilla_EXX	11	11	0.0003365413698530808	5.484833331
MgO2_HSE06	Vanilla_EXX	12	12	0.00022526569267713025	6.182749739
MgO2_HSE06	Vanilla_EXX	13	13	0.00014954195055955638	6.758250419
MgO2_HSE06	Vanilla_EXX	14	14	9.949563036059296e-5	7.336464635
MgO2_HSE06	Vanilla_EXX	15	15	6.669605339799412e-5	7.97815401
MgO2_HSE06	Vanilla_EXX	16	16	4.5046384904891904e-5	8.764841147
MgO2_HSE06	Vanilla_EXX	17	17	3.057442421659909e-5	9.427366699
MgO2_HSE06	Vanilla_EXX	18	18	2.0789645410785455e-5	10.08518254
MgO2_HSE06	Vanilla_EXX	19	19	1.4137842796053941e-5	10.825797569
MgO2_HSE06	Vanilla_EXX	20	20	9.597973726647803e-6	11.608667358
MgO2_HSE06	Vanilla_EXX	21	21	6.506752499206951e-6	12.351823323
MgO2_HSE06	Vanilla_EXX	22	22	4.423726714551987e-6	13.176242601
MgO2_HSE06	Vanilla_EXX	23	23	3.0098399361658452e-6	14.126524299
MgO2_HSE06	Vanilla_EXX	24	24	2.0377015889102447e-6	14.951477733
MgO2_HSE06	Vanilla_EXX	25	25	1.3946276061607371e-6	15.773719265
MgO2_HSE06	Vanilla_EXX	26	26	9.455220937273956e-7	16.798253314
MgO2_HSE06	ACE_occupied	1	1	0.016665483830920803	0.131891824
MgO2_HSE06	ACE_occupied	2	2	0.013084485010706937	0.261414651
MgO2_HSE06	ACE_occupied	3	3	0.009207792965533595	0.415391442
MgO2_HSE06	ACE_occupied	4	4	0.005386743326918853	0.567844084
MgO2_HSE06	ACE_occupied	5	5	0.003210423475568772	0.721242228
MgO2_HSE06	ACE_occupied	6	6	0.002099910071424244	0.874484031
MgO2_HSE06	ACE_occupied	7	7	0.0014414787251906588	1.027823123
MgO2_HSE06	ACE_occupied	8	8	0.0010090151867645732	1.18158828
MgO2_HSE06	ACE_occupied	9	9	0.0007145896614175668	1.334679201
MgO2_HSE06	ACE_occupied	10	10	0.0005024992204165686	1.688056804
MgO2_HSE06	ACE_occupied	11	11	0.0003450122711750892	1.835920352
MgO2_HSE06	ACE_occupied	12	12	0.0002313967526913836	1.994533739
MgO2_HSE06	ACE_occupied	13	13	0.0001531808574818946	2.15220368
MgO2_HSE06	ACE_occupied	14	14	0.00010140901242516401	2.30531109
MgO2_HSE06	ACE_occupied	15	15	6.766557377290851e-5	2.470107703
MgO2_HSE06	ACE_occupied	16	16	4.558187487939972e-5	2.629321252
MgO2_HSE06	ACE_occupied	17	17	3.0928342203601176e-5	2.796074982
MgO2_HSE06	ACE_occupied	18	18	2.1055924099556012e-5	2.955351629
MgO2_HSE06	ACE_occupied	19	19	1.4335241228228652e-5	3.121713924
MgO2_HSE06	ACE_occupied	20	20	9.746074713998334e-6	3.49303549
MgO2_HSE06	ACE_occupied	21	21	6.6130578333081515e-6	3.657738242
MgO2_HSE06	ACE_occupied	22	22	4.495462731248479e-6	3.829381208
MgO2_HSE06	ACE_occupied	23	23	3.050140166461532e-6	4.00899711
MgO2_HSE06	ACE_occupied	24	24	2.0723608955488977e-6	4.182278639
MgO2_HSE06	ACE_occupied	25	25	1.3966656449862828e-6	4.361458852
MgO2_HSE06	ACE_occupied	26	26	9.572524602290522e-7	4.54121065
MgO2_HSE06	ACE_full	1	1	0.016572520668649393	0.150043379
MgO2_HSE06	ACE_full	2	2	0.013045214045975051	0.300517613
MgO2_HSE06	ACE_full	3	3	0.009234807332308366	0.475564168
MgO2_HSE06	ACE_full	4	4	0.005425609540207316	0.649317312
MgO2_HSE06	ACE_full	5	5	0.0032274102849980937	0.823230263
MgO2_HSE06	ACE_full	6	6	0.0020992746439723892	0.992686575
MgO2_HSE06	ACE_full	7	7	0.0014355182890427622	1.363526215
MgO2_HSE06	ACE_full	8	8	0.001002220208717336	1.532922776
MgO2_HSE06	ACE_full	9	9	0.0007074230064719327	1.702717219
MgO2_HSE06	ACE_full	10	10	0.0004956850792819112	1.883559146
MgO2_HSE06	ACE_full	11	11	0.0003396788151830008	2.062522117
MgO2_HSE06	ACE_full	12	12	0.00022771195040491727	2.269738549
MgO2_HSE06	ACE_full	13	13	0.0001509567598535277	2.449131175
MgO2_HSE06	ACE_full	14	14	0.00010015548012474608	2.825372038
MgO2_HSE06	ACE_full	15	15	6.695952075958656e-5	3.001223633
MgO2_HSE06	ACE_full	16	16	4.515427461244238e-5	3.177678511
MgO2_HSE06	ACE_full	17	17	3.06443300185095e-5	3.364990255
MgO2_HSE06	ACE_full	18	18	2.0848272309774608e-5	3.551950082
MgO2_HSE06	ACE_full	19	19	1.4188270918659618e-5	3.738197382
MgO2_HSE06	ACE_full	20	20	9.640292150495728e-6	3.931226085
MgO2_HSE06	ACE_full	21	21	6.536073444906661e-6	4.321573959
MgO2_HSE06	ACE_full	22	22	4.4462981607258075e-6	4.504482269
MgO2_HSE06	ACE_full	23	23	3.0089863911457348e-6	4.695287108
MgO2_HSE06	ACE_full	24	24	2.0500025210948605e-6	4.889656819
MgO2_HSE06	ACE_full	25	25	1.3992885530178976e-6	5.088517762
MgO2_HSE06	ACE_full	26	26	9.535818557506168e-7	5.274798891
MgO2_HSE06	AdaptiveEXX	1	1	0.016665483830920525	0.134155714
MgO2_HSE06	AdaptiveEXX	2	2	0.013084647923779646	0.275312115
MgO2_HSE06	AdaptiveEXX	3	3	0.0088737458636313	0.382520017
MgO2_HSE06	AdaptiveEXX	4	4	0.005208900642599387	0.48938545
MgO2_HSE06	AdaptiveEXX	5	5	0.003237240718678405	0.595807464
MgO2_HSE06	AdaptiveEXX	6	6	0.0020882589561766808	0.705989028
MgO2_HSE06	AdaptiveEXX	7	7	0.0015731450723910191	0.866765015
MgO2_HSE06	AdaptiveEXX	8	8	0.001090151056338808	0.973106362
MgO2_HSE06	AdaptiveEXX	9	9	0.0007693744091945649	1.085397592
MgO2_HSE06	AdaptiveEXX	10	10	0.0005397688341473479	1.196726224
MgO2_HSE06	AdaptiveEXX	11	11	0.0003753675526874944	1.30932445
MgO2_HSE06	AdaptiveEXX	12	12	0.00044032256250711217	1.471299486
MgO2_HSE06	AdaptiveEXX	13	13	0.00026946221497371146	1.58401868
MgO2_HSE06	AdaptiveEXX	14	14	0.00018782902457310067	1.695966807
MgO2_HSE06	AdaptiveEXX	15	15	0.00013419416089457985	2.014273625
MgO2_HSE06	AdaptiveEXX	16	16	9.51507669707034e-5	2.125363641
MgO2_HSE06	AdaptiveEXX	17	17	0.00014044503196574467	2.284887723
MgO2_HSE06	AdaptiveEXX	18	18	8.517277413284148e-5	2.393506061
MgO2_HSE06	AdaptiveEXX	19	19	5.974166907919209e-5	2.512240995
MgO2_HSE06	AdaptiveEXX	20	20	4.304742687388394e-5	2.631011414
MgO2_HSE06	AdaptiveEXX	21	21	3.0727950209851956e-5	2.737399814
MgO2_HSE06	AdaptiveEXX	22	22	4.9161106185184756e-5	2.907587864
MgO2_HSE06	AdaptiveEXX	23	23	3.0395737420071803e-5	3.03386506
MgO2_HSE06	AdaptiveEXX	24	24	2.156073720329638e-5	3.159165043
MgO2_HSE06	AdaptiveEXX	25	25	1.559190930802965e-5	3.27928896
MgO2_HSE06	AdaptiveEXX	26	26	1.1149604798333711e-5	3.404125643
MgO2_HSE06	AdaptiveEXX	27	27	1.8242867380874532e-5	3.580145401
MgO2_HSE06	AdaptiveEXX	28	28	1.148648562367269e-5	3.68921096
MgO2_HSE06	AdaptiveEXX	29	29	8.188963508528627e-6	3.813605868
MgO2_HSE06	AdaptiveEXX	30	30	5.933237254132164e-6	3.938721987
MgO2_HSE06	AdaptiveEXX	31	31	4.243873544722518e-6	4.06376396
MgO2_HSE06	AdaptiveEXX	32	32	6.972495840454012e-6	4.431587325
MgO2_HSE06	AdaptiveEXX	33	33	4.447536045794881e-6	4.5500836
MgO2_HSE06	AdaptiveEXX	34	34	3.183545739822691e-6	4.672569055
MgO2_HSE06	AdaptiveEXX	35	35	2.307182044249415e-6	4.803047979
MgO2_HSE06	AdaptiveEXX	36	36	1.649447917638551e-6	4.935098514
MgO2_HSE06	AdaptiveEXX	37	37	2.7145234800721436e-6	5.118130725
MgO2_HSE06	AdaptiveEXX	38	38	1.7470624054129163e-6	5.249832365
MgO2_HSE06	AdaptiveEXX	39	39	1.2560011317440531e-6	5.379849103
MgO2_HSE06	AdaptiveEXX	40	40	9.083552517896375e-7	5.511273461
