system	defect_tolerance	probe_count	max_reuse	converged	scf_evaluations	inner_scf_time_s	total_wall_time_s	final_energy_Ha	energy_deviation_from_vanilla_meV_per_atom	rebuilds	reuses	max_defect_score	mean_probes_when_monitored	total_monitoring_probes
Si8	0.01	3	5	true	31	37.703351813	38.362272725	-32.59022422343706	5.55877018777661e-10	7	24	0.01056389225715889	3.0	75.0
Si8	0.003	3	5	true	30	38.692834114	39.134304902	-32.59022422343587	4.6161961124579664e-9	8	22	0.008769238482792579	3.0	72.0
Si8	0.001	3	5	true	28	37.764616242	38.42978704	-32.59022422343404	1.0827517583147482e-8	8	20	0.008769238482792579	3.0	69.0
Si8	0.003	1	5	true	30	33.161388778	33.793433501	-32.59022422343587	4.6161961124579664e-9	8	22	0.008678532920595883	1.0	24.0
Si8	0.003	5	5	true	30	44.148631248	44.592615663	-32.59022422343587	4.6161961124579664e-9	8	22	0.008867083369394471	5.0	120.0
MgO2	0.003	1	5	true	28	3.730181791	3.760179367	-75.54121258229947	9.667426413524538e-10	7	21	0.004111521203255233	1.0	22.0
MgO2	0.003	3	5	true	28	4.033761318	4.063750667	-75.54121258229947	9.667426413524538e-10	7	21	0.004112505607754803	3.0	66.0
MgO2	0.003	5	5	true	28	4.397762979	4.428032798	-75.54121258229947	9.667426413524538e-10	7	21	0.004103514644126784	5.0	110.0
