Goal	Cases	Target success	Median error/target	Worst error/target	Geometric mean uniform/GoalDFT wall-time ratio	Best uniform/GoalDFT ratio	Worst uniform/GoalDFT ratio
Energy	12	12/12	0.30	0.47	0.73	1.71	0.30
Force	6	6/6	0.40	0.86	1.36	3.46	0.58
