system	method	evaluation	accepted_iteration	density_residual	elapsed_s
Si2	AdaptiveEXX	22	22	8.158331181980772e-6	4.238575685
Si2	AdaptiveEXX	23	23	5.75233618083097e-6	4.35718834
Si2	AdaptiveEXX	24	24	4.06061226632971e-6	4.482535578
Si2	AdaptiveEXX	25	25	2.869211861453854e-6	4.601775158
Si2	AdaptiveEXX	26	26	2.0295525291643554e-6	4.761481217
Si2	AdaptiveEXX	27	27	1.867732017035399e-6	5.095386062
Si2	AdaptiveEXX	28	28	1.3244530360470365e-6	5.224940009
Si2	AdaptiveEXX	29	29	9.402628078432065e-7	5.350304776
C2	Vanilla_EXX	1	1	0.022706492507832056	0.037091399
C2	Vanilla_EXX	2	2	0.01666872208903516	0.075745182
C2	Vanilla_EXX	3	3	0.0118094935340666	0.178792857
C2	Vanilla_EXX	4	4	0.007683970809312323	0.261382838
C2	Vanilla_EXX	5	5	0.004914800900415805	0.343491818
C2	Vanilla_EXX	6	6	0.0031390998085206777	0.425579351
C2	Vanilla_EXX	7	7	0.002009713364930875	0.507838361
C2	Vanilla_EXX	8	8	0.0012908912778373629	0.579368423
C2	Vanilla_EXX	9	9	0.0008323887651331122	0.651628742
C2	Vanilla_EXX	10	10	0.0005388255138481897	0.930574397
C2	Vanilla_EXX	11	11	0.0003501629136270131	1.024955641
C2	Vanilla_EXX	12	12	0.00022844861569448158	1.097131507
C2	Vanilla_EXX	13	13	0.00014961656028228662	1.17127745
C2	Vanilla_EXX	14	14	9.835624153448324e-5	1.243792158
C2	Vanilla_EXX	15	15	6.489309983490654e-5	1.316047519
C2	Vanilla_EXX	16	16	4.2963615917772596e-5	1.387886588
C2	Vanilla_EXX	17	17	2.8538551401320254e-5	1.459698463
C2	Vanilla_EXX	18	18	1.9015604153900793e-5	1.531342638
C2	Vanilla_EXX	19	19	1.2708046282243762e-5	1.609897651
C2	Vanilla_EXX	20	20	8.515164604457129e-6	1.897340853
C2	Vanilla_EXX	21	21	5.719918738794103e-6	1.999125022
C2	Vanilla_EXX	22	22	3.8516107010723115e-6	2.078531637
C2	Vanilla_EXX	23	23	2.5992116276203152e-6	2.153004091
C2	Vanilla_EXX	24	24	1.7577786634459846e-6	2.226302832
C2	Vanilla_EXX	25	25	1.1910746652283622e-6	2.298068986
C2	Vanilla_EXX	26	26	8.08572772182141e-7	2.369864219
C2	ACE_occupied	1	1	0.02243740411886533	0.022103086
C2	ACE_occupied	2	2	0.01672504222003419	0.043770596
C2	ACE_occupied	3	3	0.011871381508172005	0.076410745
C2	ACE_occupied	4	4	0.007741705537378551	0.103793175
C2	ACE_occupied	5	5	0.004954036956393799	0.13290687
C2	ACE_occupied	6	6	0.003162057987711967	0.160330134
C2	ACE_occupied	7	7	0.0020226971128012167	0.202902715
C2	ACE_occupied	8	8	0.0012982518387306525	0.230525535
C2	ACE_occupied	9	9	0.0008364347665385664	0.258280253
C2	ACE_occupied	10	10	0.0005410280719630315	0.28591582
C2	ACE_occupied	11	11	0.0003513550000482054	0.314929274
C2	ACE_occupied	12	12	0.00022909045528421125	0.342274079
C2	ACE_occupied	13	13	0.0001499601646170881	0.372068876
C2	ACE_occupied	14	14	9.85388324653839e-5	0.40037633
C2	ACE_occupied	15	15	6.498907296858153e-5	0.427802256
C2	ACE_occupied	16	16	4.3013171515446976e-5	0.456400148
C2	ACE_occupied	17	17	2.856336011859172e-5	0.485580859
C2	ACE_occupied	18	18	1.9027328411320487e-5	0.512929408
C2	ACE_occupied	19	19	1.2712175435791396e-5	0.543981275
C2	ACE_occupied	20	20	8.516656940531343e-6	0.582478549
C2	ACE_occupied	21	21	5.719986022252382e-6	0.626471903
C2	ACE_occupied	22	22	3.850791961801393e-6	0.655707843
C2	ACE_occupied	23	23	2.5981486585382952e-6	0.683466962
C2	ACE_occupied	24	24	1.7566919882932777e-6	0.711193636
C2	ACE_occupied	25	25	1.1900795028030165e-6	0.739046786
C2	ACE_occupied	26	26	8.077146667271715e-7	0.766896986
C2	ACE_full	1	1	0.022437404118865415	0.026670046
C2	ACE_full	2	2	0.016725042220034257	0.0550365
C2	ACE_full	3	3	0.011871374925182821	0.089729003
C2	ACE_full	4	4	0.007741706973573566	0.121919633
C2	ACE_full	5	5	0.004954035789094627	0.166841921
C2	ACE_full	6	6	0.003162059799026571	0.202262815
C2	ACE_full	7	7	0.002022698673683857	0.234331754
C2	ACE_full	8	8	0.0012982529526472763	0.269343555
C2	ACE_full	9	9	0.000836435527774709	0.302480817
C2	ACE_full	10	10	0.0005410285874415125	0.335495874
C2	ACE_full	11	11	0.0003513553487154591	0.368145921
C2	ACE_full	12	12	0.00022909069124594296	0.400495078
C2	ACE_full	13	13	0.00014996032441359617	0.433595885
C2	ACE_full	14	14	9.853894073859881e-5	0.467213426
C2	ACE_full	15	15	6.498914635359047e-5	0.500135317
C2	ACE_full	16	16	4.301322126246823e-5	0.532839488
C2	ACE_full	17	17	2.856339384246704e-5	0.565682639
C2	ACE_full	18	18	1.9027351272781935e-5	0.598662258
C2	ACE_full	19	19	1.2712190931995266e-5	0.631384695
C2	ACE_full	20	20	8.516746233311214e-6	0.665198441
C2	ACE_full	21	21	5.719939021570885e-6	0.699897296
C2	ACE_full	22	22	3.850782869057603e-6	0.733899558
C2	ACE_full	23	23	2.5981460284896658e-6	0.766176085
C2	ACE_full	24	24	1.7566898899115753e-6	0.798981903
C2	ACE_full	25	25	1.1900774905199621e-6	1.038697293
C2	ACE_full	26	26	8.077129526852559e-7	1.071051395
C2	AdaptiveEXX	1	1	0.022437404118865197	0.022713783
C2	AdaptiveEXX	2	2	0.01672504222003423	0.051967144
C2	AdaptiveEXX	3	3	0.011656834144015051	0.076602778
C2	AdaptiveEXX	4	4	0.007522334700281031	0.100011934
C2	AdaptiveEXX	5	5	0.004863240490209343	0.123778592
C2	AdaptiveEXX	6	6	0.0031502883412823416	0.147606144
C2	AdaptiveEXX	7	7	0.0021757656958192964	0.184682627
C2	AdaptiveEXX	8	8	0.001421708788721457	0.218552524
C2	AdaptiveEXX	9	9	0.0009314320698123429	0.24207706
C2	AdaptiveEXX	10	10	0.0006118562769790513	0.265473413
C2	AdaptiveEXX	11	11	0.00040302290941939944	0.288897332
C2	AdaptiveEXX	12	12	0.00026321797916502434	0.325029739
C2	AdaptiveEXX	13	13	0.00017597031090066398	0.348912862
C2	AdaptiveEXX	14	14	0.00011796526560196775	0.37234911
