  0.18572356E+01  0.47472021E+01
  0.18700441E+01  0.47459441E+01
  0.18828527E+01  0.47449605E+01
  0.18956612E+01  0.47442552E+01
  0.19084697E+01  0.47438309E+01
  0.19212782E+01  0.47436892E+01
  0.19340346E+01  0.47423976E+01
  0.19467909E+01  0.47385354E+01
  0.19595472E+01  0.47321401E+01
  0.19723035E+01  0.47232726E+01
  0.19850599E+01  0.47120159E+01
  0.19978162E+01  0.46984718E+01
  0.20105725E+01  0.46827583E+01
  0.20233288E+01  0.46650066E+01
  0.20360852E+01  0.46453574E+01
  0.20488415E+01  0.46239581E+01
  0.20615978E+01  0.46009594E+01
  0.20743542E+01  0.45765132E+01
  0.20871105E+01  0.45507695E+01
  0.20998668E+01  0.45238751E+01
  0.21126231E+01  0.44959719E+01
  0.21253795E+01  0.44671953E+01
  0.21381358E+01  0.44376740E+01
  0.21508921E+01  0.44075290E+01
  0.21636484E+01  0.43768737E+01
  0.21764048E+01  0.43458133E+01
  0.21891611E+01  0.43144456E+01
  0.22019174E+01  0.42828606E+01
  0.22146738E+01  0.42511412E+01
  0.22274301E+01  0.42193636E+01
  0.22401864E+01  0.41875977E+01
  0.22529427E+01  0.41559073E+01
  0.22656991E+01  0.41243512E+01
  0.22784554E+01  0.40929830E+01
  0.22912117E+01  0.40618520E+01
  0.23039680E+01  0.40310034E+01
  0.23167244E+01  0.40004789E+01
  0.23294807E+01  0.39703169E+01
  0.23422370E+01  0.39405530E+01
  0.23549934E+01  0.39112202E+01
  0.23677497E+01  0.38823493E+01
  0.23805060E+01  0.38539691E+01
  0.23932623E+01  0.38261066E+01
  0.24060187E+01  0.37987872E+01
  0.24187750E+01  0.37720351E+01
  0.24315313E+01  0.37458731E+01
  0.24442876E+01  0.37203229E+01
  0.24570440E+01  0.36954054E+01
  0.24698003E+01  0.36711406E+01
  0.24825566E+01  0.36475475E+01
  0.24953130E+01  0.36246446E+01
  0.25080693E+01  0.36024496E+01
  0.25208256E+01  0.35809796E+01
  0.25335819E+01  0.35602512E+01
  0.25463383E+01  0.35402804E+01
  0.25590946E+01  0.35210823E+01
  0.25718509E+01  0.35026721E+01
  0.25846072E+01  0.34850638E+01
  0.25973636E+01  0.34682712E+01
  0.26101199E+01  0.34523075E+01
  0.26228762E+01  0.34371853E+01
  0.26356326E+01  0.34229167E+01
  0.26483889E+01  0.34095129E+01
  0.26611452E+01  0.33969848E+01
  0.26739015E+01  0.33853426E+01
  0.26866579E+01  0.33745957E+01
  0.26994142E+01  0.33647530E+01
  0.27121705E+01  0.33558226E+01
  0.27249268E+01  0.33478120E+01
  0.27376832E+01  0.33407278E+01
  0.27504395E+01  0.33345760E+01
  0.27631958E+01  0.33293618E+01
  0.27759522E+01  0.33250895E+01
  0.27887085E+01  0.33217629E+01
  0.28014648E+01  0.33193847E+01
  0.28142211E+01  0.33179569E+01
  0.28269775E+01  0.33174809E+01
  0.28398358E+01  0.33179646E+01
  0.28526941E+01  0.33194152E+01
  0.28655525E+01  0.33218316E+01
  0.28784108E+01  0.33252116E+01
  0.28912691E+01  0.33295522E+01
  0.29041275E+01  0.33348498E+01
  0.29169858E+01  0.33410999E+01
  0.29298442E+01  0.33482969E+01
  0.29427025E+01  0.33564350E+01
  0.29555608E+01  0.33655071E+01
  0.29684192E+01  0.33755057E+01
  0.29812775E+01  0.33864225E+01
  0.29941358E+01  0.33982484E+01
  0.30069942E+01  0.34109737E+01
  0.30198525E+01  0.34245881E+01
  0.30327109E+01  0.34390807E+01
  0.30455692E+01  0.34544398E+01
  0.30584275E+01  0.34706533E+01
  0.30712859E+01  0.34877085E+01
  0.30841442E+01  0.35055921E+01
  0.30970025E+01  0.35242904E+01
  0.31098609E+01  0.35437889E+01
