G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         1.2808521490      0.0000000000      0.5000000000      0.5000000000
W                             151         1.9212782234      0.2500000000      0.5000000000      0.7500000000
L                             222         2.8269774637      0.5000000000      0.5000000000      0.5000000000
K                             283         3.6113360139      0.3750000000      0.3750000000      0.7500000000
G                             389         4.9698848742      0.0000000000      0.0000000000      0.0000000000
L                             476         6.0791353737      0.5000000000      0.5000000000      0.5000000000
