 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.21380000E+00  0.34297949E+05  0.34299318E+05  0.34302398E+05  0.10615902E+04  0.29513672E+04  0.37092413E+04
  0.21830000E+00  0.34667543E+05  0.34668602E+05  0.34671779E+05  0.10725838E+04  0.29808192E+04  0.37483339E+04
  0.22270000E+00  0.35017392E+05  0.35018847E+05  0.35021757E+05  0.10942026E+04  0.30114371E+04  0.37837023E+04
  0.22720000E+00  0.35380056E+05  0.35381554E+05  0.35384552E+05  0.11043731E+04  0.30419329E+04  0.38221939E+04
  0.23160000E+00  0.35724058E+05  0.35725601E+05  0.35728685E+05  0.11134569E+04  0.30695887E+04  0.38606975E+04
  0.23610000E+00  0.36080514E+05  0.36081705E+05  0.36085275E+05  0.11224084E+04  0.31016601E+04  0.38954937E+04
  0.24050000E+00  0.36418765E+05  0.36419989E+05  0.36423251E+05  0.11302588E+04  0.31263789E+04  0.39342552E+04
  0.24500000E+00  0.36769639E+05  0.36770897E+05  0.36774251E+05  0.11379399E+04  0.31557016E+04  0.39692195E+04
  0.24940000E+00  0.37102502E+05  0.37103794E+05  0.37106807E+05  0.11583763E+04  0.31874149E+04  0.40047637E+04
  0.25390000E+00  0.37447525E+05  0.37448851E+05  0.37451946E+05  0.11651537E+04  0.32141681E+04  0.40403105E+04
  0.25840000E+00  0.37789962E+05  0.37791323E+05  0.37794499E+05  0.11712540E+04  0.32448175E+04  0.40784201E+04
  0.26280000E+00  0.38115077E+05  0.38116473E+05  0.38119731E+05  0.11762137E+04  0.32730860E+04  0.41135155E+04
  0.26730000E+00  0.38452641E+05  0.38453596E+05  0.38457413E+05  0.11963544E+04  0.33014579E+04  0.41487185E+04
  0.27170000E+00  0.38772952E+05  0.38774419E+05  0.38777841E+05  0.12003559E+04  0.33274355E+04  0.41808895E+04
  0.27620000E+00  0.39105731E+05  0.39107234E+05  0.39110740E+05  0.12202366E+04  0.33534606E+04  0.42177437E+04
