 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.48241000E+01  0.11325223E+07  0.11325276E+07  0.11325329E+07  0.59883271E+04  0.17286811E+05  0.21866279E+05
  0.48286000E+01  0.11391852E+07  0.11391852E+07  0.11391904E+07  0.59939131E+04  0.17302937E+05  0.21886676E+05
  0.48330000E+01  0.11449274E+07  0.11449327E+07  0.11449379E+07  0.59993750E+04  0.17318704E+05  0.21906620E+05
  0.48375000E+01  0.11497893E+07  0.11497893E+07  0.11497945E+07  0.60049610E+04  0.17334829E+05  0.21927017E+05
  0.48420000E+01  0.11537276E+07  0.11537276E+07  0.11537328E+07  0.60105470E+04  0.17350955E+05  0.21947414E+05
  0.48464000E+01  0.11567227E+07  0.11567227E+07  0.11567280E+07  0.60160089E+04  0.17366722E+05  0.21967358E+05
  0.48509000E+01  0.11588298E+07  0.11588350E+07  0.11588402E+07  0.60215949E+04  0.17382847E+05  0.21987756E+05
  0.48553000E+01  0.11600219E+07  0.11600219E+07  0.11600271E+07  0.60270567E+04  0.17398614E+05  0.22007700E+05
  0.48598000E+01  0.11603654E+07  0.11603654E+07  0.11603706E+07  0.60326428E+04  0.17414740E+05  0.22028097E+05
  0.48642000E+01  0.11598454E+07  0.11598506E+07  0.11598558E+07  0.60381046E+04  0.17430507E+05  0.22048041E+05
  0.48687000E+01  0.11585562E+07  0.11585562E+07  0.11585615E+07  0.60436906E+04  0.17446632E+05  0.22068438E+05
  0.48731000E+01  0.11564908E+07  0.11564908E+07  0.11564961E+07  0.60491525E+04  0.17462399E+05  0.22088382E+05
  0.48776000E+01  0.11537415E+07  0.11537468E+07  0.11537521E+07  0.60547385E+04  0.17478525E+05  0.22108779E+05
  0.48820000E+01  0.11503265E+07  0.11503318E+07  0.11503318E+07  0.60602004E+04  0.17494292E+05  0.22128723E+05
  0.48865000E+01  0.11463480E+07  0.11463480E+07  0.11463534E+07  0.60657864E+04  0.17510417E+05  0.22149120E+05
  0.48910000E+01  0.11418324E+07  0.11418378E+07  0.11418431E+07  0.60713724E+04  0.17526543E+05  0.22169518E+05
  0.48954000E+01  0.11368337E+07  0.11368337E+07  0.11368391E+07  0.60768343E+04  0.17542310E+05  0.22189461E+05
  0.48999000E+01  0.11314446E+07  0.11314446E+07  0.11314501E+07  0.60824203E+04  0.17558435E+05  0.22209859E+05
  0.49043000E+01  0.11256877E+07  0.11256932E+07  0.11256932E+07  0.60878822E+04  0.17574202E+05  0.22229803E+05
  0.49088000E+01  0.11196682E+07  0.11196737E+07  0.11196793E+07  0.60934682E+04  0.17590328E+05  0.22250200E+05
  0.49132000E+01  0.11134014E+07  0.11134014E+07  0.11134070E+07  0.60989301E+04  0.17606095E+05  0.22270144E+05
  0.49177000E+01  0.11069840E+07  0.11069897E+07  0.11069953E+07  0.61045161E+04  0.17622220E+05  0.22290541E+05
  0.49221000E+01  0.11004351E+07  0.11004351E+07  0.11004408E+07  0.61099780E+04  0.17637987E+05  0.22310485E+05
  0.49266000E+01  0.10938372E+07  0.10938429E+07  0.10938429E+07  0.61155640E+04  0.17654113E+05  0.22330882E+05
  0.49310000E+01  0.10872075E+07  0.10872132E+07  0.10872189E+07  0.61210258E+04  0.17669880E+05  0.22350826E+05
  0.49355000E+01  0.10806366E+07  0.10806366E+07  0.10806424E+07  0.61266119E+04  0.17686005E+05  0.22371223E+05
  0.49400000E+01  0.10741445E+07  0.10741503E+07  0.10741562E+07  0.61321979E+04  0.17702130E+05  0.22391621E+05
  0.49444000E+01  0.10677588E+07  0.10677647E+07  0.10677647E+07  0.61376597E+04  0.17717898E+05  0.22411565E+05
  0.49489000E+01  0.10615616E+07  0.10615676E+07  0.10615676E+07  0.61432458E+04  0.17734023E+05  0.22431962E+05
  0.49533000E+01  0.10555560E+07  0.10555560E+07  0.10555620E+07  0.61487076E+04  0.17749790E+05  0.22451906E+05
  0.49578000E+01  0.10498138E+07  0.10498198E+07  0.10498258E+07  0.61542936E+04  0.17765915E+05  0.22472303E+05
  0.49622000E+01  0.10443465E+07  0.10443465E+07  0.10443526E+07  0.61597555E+04  0.17781683E+05  0.22492247E+05
  0.49667000E+01  0.10392213E+07  0.10392274E+07  0.10392335E+07  0.61653415E+04  0.17797808E+05  0.22512644E+05
  0.49711000E+01  0.10344458E+07  0.10344458E+07  0.10344520E+07  0.61708034E+04  0.17813575E+05  0.22532588E+05
  0.49756000E+01  0.10300877E+07  0.10300877E+07  0.10300939E+07  0.61763894E+04  0.18182798E+05  0.22552985E+05
  0.49800000E+01  0.10261439E+07  0.10261439E+07  0.10261501E+07  0.61818513E+04  0.18198877E+05  0.22572929E+05
  0.49845000E+01  0.10226881E+07  0.10226944E+07  0.10227006E+07  0.61874373E+04  0.18215322E+05  0.22593327E+05
  0.49890000E+01  0.10197448E+07  0.10197448E+07  0.10197511E+07  0.61930233E+04  0.18231767E+05  0.22613724E+05
  0.49934000E+01  0.10173072E+07  0.10173072E+07  0.10173135E+07  0.61984852E+04  0.18247846E+05  0.22633668E+05
  0.49979000E+01  0.10154607E+07  0.10154607E+07  0.10154670E+07  0.62040712E+04  0.18264291E+05  0.22654065E+05
  0.50023000E+01  0.10141836E+07  0.10141899E+07  0.10141899E+07  0.62095331E+04  0.18280370E+05  0.22674009E+05
  0.50068000E+01  0.10135536E+07  0.10135536E+07  0.10135600E+07  0.62151191E+04  0.18296815E+05  0.22694406E+05
  0.50112000E+01  0.10135412E+07  0.10135412E+07  0.10135475E+07  0.62205810E+04  0.18312895E+05  0.22714350E+05
  0.50157000E+01  0.10142157E+07  0.10142220E+07  0.10142284E+07  0.62261670E+04  0.18329339E+05  0.22734747E+05
  0.50201000E+01  0.10155580E+07  0.10155580E+07  0.10155643E+07  0.62316288E+04  0.18345419E+05  0.22754691E+05
  0.50246000E+01  0.10176222E+07  0.10176222E+07  0.10176286E+07  0.62372149E+04  0.18361863E+05  0.22775088E+05
  0.50290000E+01  0.10203737E+07  0.10203737E+07  0.10203801E+07  0.62426767E+04  0.18377943E+05  0.22795032E+05
  0.50335000E+01  0.10238702E+07  0.10238766E+07  0.10238766E+07  0.62482627E+04  0.18394387E+05  0.22815430E+05
  0.50379000E+01  0.10280801E+07  0.10280801E+07  0.10280865E+07  0.62537246E+04  0.18410467E+05  0.22835374E+05
  0.50424000E+01  0.10330391E+07  0.10330391E+07  0.10330454E+07  0.62593106E+04  0.18426912E+05  0.22855771E+05
  0.50469000E+01  0.10387267E+07  0.10387330E+07  0.10387393E+07  0.62648966E+04  0.18443356E+05  0.22876168E+05
  0.50513000E+01  0.10451266E+07  0.10451266E+07  0.10451329E+07  0.62703585E+04  0.18459436E+05  0.22896112E+05
  0.50558000E+01  0.10522709E+07  0.10522709E+07  0.10522771E+07  0.62759445E+04  0.18475880E+05  0.22916509E+05
  0.50602000E+01  0.10601009E+07  0.10601009E+07  0.10601071E+07  0.62814064E+04  0.18491960E+05  0.22936453E+05
  0.50647000E+01  0.10686469E+07  0.10686469E+07  0.10686531E+07  0.62869924E+04  0.18508405E+05  0.22956850E+05
  0.50691000E+01  0.10778541E+07  0.10778541E+07  0.10778603E+07  0.62924543E+04  0.18524484E+05  0.22976794E+05
  0.50736000E+01  0.10877392E+07  0.10877392E+07  0.10877453E+07  0.62980403E+04  0.18540929E+05  0.22997192E+05
  0.50780000E+01  0.10982334E+07  0.10982394E+07  0.10982454E+07  0.63035022E+04  0.18557008E+05  0.23017136E+05
  0.50825000E+01  0.11093654E+07  0.11093654E+07  0.11093714E+07  0.63090882E+04  0.18573453E+05  0.23037533E+05
  0.50869000E+01  0.11210535E+07  0.11210535E+07  0.11210594E+07  0.63145501E+04  0.18589532E+05  0.23057477E+05
  0.50914000E+01  0.11333093E+07  0.11333093E+07  0.11333151E+07  0.63201361E+04  0.18605977E+05  0.23077874E+05
  0.50959000E+01  0.11460793E+07  0.11460793E+07  0.11460852E+07  0.63257221E+04  0.18622422E+05  0.23098271E+05
  0.51003000E+01  0.11592984E+07  0.11592984E+07  0.11593042E+07  0.63311840E+04  0.18638501E+05  0.23118215E+05
  0.51048000E+01  0.11729759E+07  0.11729759E+07  0.11729816E+07  0.63367700E+04  0.18654946E+05  0.23426060E+05
  0.51092000E+01  0.11870144E+07  0.11870200E+07  0.11870257E+07  0.63422319E+04  0.18671025E+05  0.23446251E+05
  0.51137000E+01  0.12014269E+07  0.12014325E+07  0.12014325E+07  0.63478179E+04  0.18687470E+05  0.23466902E+05
  0.51181000E+01  0.12161125E+07  0.12161125E+07  0.12161180E+07  0.63532797E+04  0.18703549E+05  0.23487094E+05
  0.51226000E+01  0.12310661E+07  0.12310661E+07  0.12310716E+07  0.63588657E+04  0.18719994E+05  0.23507744E+05
  0.51270000E+01  0.12461900E+07  0.12461900E+07  0.12461954E+07  0.63643276E+04  0.18736073E+05  0.23527936E+05
  0.51315000E+01  0.12614788E+07  0.12614788E+07  0.12614842E+07  0.63699136E+04  0.18752518E+05  0.23548587E+05
  0.51359000E+01  0.12768218E+07  0.12768218E+07  0.12768271E+07  0.63753755E+04  0.18768597E+05  0.23568778E+05
  0.51404000E+01  0.12922090E+07  0.12922143E+07  0.12922143E+07  0.63809615E+04  0.18785042E+05  0.23589429E+05
  0.51449000E+01  0.13075589E+07  0.13075641E+07  0.13075692E+07  0.63865475E+04  0.18801487E+05  0.23610080E+05
  0.51493000E+01  0.13227805E+07  0.13227856E+07  0.13227908E+07  0.63920094E+04  0.18817566E+05  0.23630271E+05
  0.51538000E+01  0.13378625E+07  0.13378625E+07  0.13378676E+07  0.63975954E+04  0.18834011E+05  0.23650922E+05
  0.51582000E+01  0.13526828E+07  0.13526828E+07  0.13526878E+07  0.64030573E+04  0.18850090E+05  0.23671114E+05
  0.51627000E+01  0.13672256E+07  0.13672256E+07  0.13672306E+07  0.64086433E+04  0.18866535E+05  0.23691764E+05
  0.51671000E+01  0.13813775E+07  0.13813775E+07  0.13813825E+07  0.64141052E+04  0.18882614E+05  0.23711956E+05
  0.51716000E+01  0.13951177E+07  0.13951177E+07  0.13951226E+07  0.64196912E+04  0.18899059E+05  0.23732607E+05
  0.51760000E+01  0.14083304E+07  0.14083304E+07  0.14083353E+07  0.64251531E+04  0.18915138E+05  0.23752798E+05
  0.51805000E+01  0.14210042E+07  0.14210042E+07  0.14210090E+07  0.64307391E+04  0.18931583E+05  0.23773449E+05
  0.51849000E+01  0.14330198E+07  0.14330198E+07  0.14330246E+07  0.64362010E+04  0.18947663E+05  0.23793641E+05
  0.51894000E+01  0.14443783E+07  0.14443783E+07  0.14443831E+07  0.64417870E+04  0.18964107E+05  0.23814291E+05
  0.51939000E+01  0.14549889E+07  0.14549889E+07  0.14549937E+07  0.64473730E+04  0.18980552E+05  0.23834942E+05
  0.51983000E+01  0.14647793E+07  0.14647840E+07  0.14647888E+07  0.64528349E+04  0.18996631E+05  0.23855134E+05
  0.52028000E+01  0.14737611E+07  0.14737611E+07  0.14737658E+07  0.64584209E+04  0.19013076E+05  0.23875784E+05
  0.52072000E+01  0.14818372E+07  0.14818372E+07  0.14818419E+07  0.64638827E+04  0.19029156E+05  0.23895976E+05
  0.52117000E+01  0.14890276E+07  0.14890322E+07  0.14890369E+07  0.64694688E+04  0.19045600E+05  0.23916626E+05
  0.52161000E+01  0.14952604E+07  0.14952651E+07  0.14952698E+07  0.64749306E+04  0.19061680E+05  0.23936818E+05
  0.52206000E+01  0.15005720E+07  0.15005720E+07  0.15005767E+07  0.64805166E+04  0.19078124E+05  0.23957469E+05
  0.52250000E+01  0.15048961E+07  0.15048961E+07  0.15049008E+07  0.64859785E+04  0.19094204E+05  0.23977660E+05
  0.52295000E+01  0.15082937E+07  0.15082937E+07  0.15082984E+07  0.64915645E+04  0.19110649E+05  0.23998311E+05
  0.52339000E+01  0.15107088E+07  0.15107088E+07  0.15107135E+07  0.64970264E+04  0.19126728E+05  0.24018503E+05
  0.52384000E+01  0.15122174E+07  0.15122221E+07  0.15122268E+07  0.65026124E+04  0.19143173E+05  0.24039153E+05
  0.52429000E+01  0.15128214E+07  0.15128214E+07  0.15128260E+07  0.65081984E+04  0.19159617E+05  0.24059804E+05
  0.52473000E+01  0.15125116E+07  0.15125162E+07  0.15125209E+07  0.65136603E+04  0.19175697E+05  0.24079996E+05
  0.52518000E+01  0.15113923E+07  0.15113923E+07  0.15113970E+07  0.65192463E+04  0.19192141E+05  0.24100646E+05
  0.52562000E+01  0.15094420E+07  0.15094467E+07  0.15094514E+07  0.65247082E+04  0.19208221E+05  0.24120838E+05
  0.52607000E+01  0.15067725E+07  0.15067725E+07  0.15067772E+07  0.65302942E+04  0.19224666E+05  0.24141489E+05
  0.52651000E+01  0.15033754E+07  0.15033754E+07  0.15033802E+07  0.65357561E+04  0.19240745E+05  0.24161680E+05
  0.52696000E+01  0.14993664E+07  0.14993664E+07  0.14993711E+07  0.65413421E+04  0.19257190E+05  0.24182331E+05
  0.52740000E+01  0.14947468E+07  0.14947468E+07  0.14947516E+07  0.65468040E+04  0.19273269E+05  0.24202523E+05
  0.52785000E+01  0.14896327E+07  0.14896327E+07  0.14896375E+07  0.65523900E+04  0.19289714E+05  0.24223173E+05
  0.52829000E+01  0.14840319E+07  0.14840319E+07  0.14840367E+07  0.65578518E+04  0.19305793E+05  0.24243365E+05
  0.52874000E+01  0.14780613E+07  0.14780662E+07  0.14780662E+07  0.65634379E+04  0.19322238E+05  0.24264016E+05
  0.52919000E+01  0.14717644E+07  0.14717644E+07  0.14717692E+07  0.65690239E+04  0.19338683E+05  0.24284666E+05
  0.52963000E+01  0.14651666E+07  0.14651715E+07  0.14651764E+07  0.65744857E+04  0.19354762E+05  0.24304858E+05
  0.53008000E+01  0.14583979E+07  0.14583979E+07  0.14584028E+07  0.65800718E+04  0.19371207E+05  0.24325509E+05
  0.53052000E+01  0.14514492E+07  0.14514542E+07  0.14514542E+07  0.65855336E+04  0.19387286E+05  0.24345700E+05
  0.53097000E+01  0.14444480E+07  0.14444480E+07  0.14444531E+07  0.65911196E+04  0.19403731E+05  0.24366351E+05
  0.53141000E+01  0.14373839E+07  0.14373839E+07  0.14373889E+07  0.65965815E+04  0.19419810E+05  0.24386543E+05
  0.53186000E+01  0.14303714E+07  0.14303714E+07  0.14303765E+07  0.66021675E+04  0.19436255E+05  0.24407193E+05
  0.53230000E+01  0.14234036E+07  0.14234087E+07  0.14234138E+07  0.66076294E+04  0.19452334E+05  0.24427385E+05
  0.53275000E+01  0.14165820E+07  0.14165872E+07  0.14165923E+07  0.66132154E+04  0.19468779E+05  0.24448036E+05
  0.53319000E+01  0.14098922E+07  0.14098974E+07  0.14099026E+07  0.66186773E+04  0.19484858E+05  0.24468227E+05
  0.53364000E+01  0.14034270E+07  0.14034270E+07  0.14034322E+07  0.66242633E+04  0.19501303E+05  0.24488878E+05
  0.53408000E+01  0.13971585E+07  0.13971585E+07  0.13971638E+07  0.66297252E+04  0.19517382E+05  0.24509070E+05
  0.53453000E+01  0.13911596E+07  0.13911649E+07  0.13911702E+07  0.66353112E+04  0.19533827E+05  0.24529720E+05
  0.53498000E+01  0.13854297E+07  0.13854350E+07  0.13854403E+07  0.66408972E+04  0.19550272E+05  0.24550371E+05
  0.53542000E+01  0.13799534E+07  0.13799587E+07  0.13799641E+07  0.66463591E+04  0.19566351E+05  0.24570563E+05
  0.53587000E+01  0.13747872E+07  0.13747872E+07  0.13747925E+07  0.66519451E+04  0.19582796E+05  0.24591213E+05
  0.53631000E+01  0.13698737E+07  0.13698737E+07  0.13698791E+07  0.66574070E+04  0.19598875E+05  0.24611405E+05
  0.53676000E+01  0.13652579E+07  0.13652579E+07  0.13652634E+07  0.66629930E+04  0.19615320E+05  0.24632056E+05
  0.53720000E+01  0.13608768E+07  0.13608768E+07  0.13608823E+07  0.66684548E+04  0.19631400E+05  0.24652247E+05
  0.53765000E+01  0.13567577E+07  0.13567632E+07  0.13567687E+07  0.66740409E+04  0.19647844E+05  0.24971974E+05
  0.53809000E+01  0.13528316E+07  0.13528316E+07  0.13528371E+07  0.66795027E+04  0.19663924E+05  0.24992411E+05
  0.53854000E+01  0.13491132E+07  0.13491187E+07  0.13491242E+07  0.66850887E+04  0.19680368E+05  0.25013312E+05
  0.53898000E+01  0.13455328E+07  0.13455328E+07  0.13455383E+07  0.66905506E+04  0.19696448E+05  0.25033748E+05
  0.53943000E+01  0.13420924E+07  0.13420924E+07  0.13420980E+07  0.66961366E+04  0.19712892E+05  0.25054649E+05
  0.53988000E+01  0.13387463E+07  0.13387463E+07  0.13387519E+07  0.67017226E+04  0.19729337E+05  0.25075550E+05
  0.54032000E+01  0.13354261E+07  0.13354261E+07  0.13354317E+07  0.67071845E+04  0.19745417E+05  0.25095986E+05
  0.54077000E+01  0.13321538E+07  0.13321538E+07  0.13321594E+07  0.67127705E+04  0.19761861E+05  0.25116887E+05
  0.54121000E+01  0.13288408E+07  0.13288464E+07  0.13288521E+07  0.67182324E+04  0.19777941E+05  0.25137324E+05
  0.54166000E+01  0.13255191E+07  0.13255191E+07  0.13255248E+07  0.67238184E+04  0.19794385E+05  0.25158225E+05
  0.54210000E+01  0.13221052E+07  0.13221109E+07  0.13221166E+07  0.67292803E+04  0.19810465E+05  0.25178661E+05
  0.54255000E+01  0.13186357E+07  0.13186357E+07  0.13186414E+07  0.67348663E+04  0.19826910E+05  0.25199562E+05
  0.54299000E+01  0.13150263E+07  0.13150321E+07  0.13150379E+07  0.67403282E+04  0.19842989E+05  0.25219999E+05
  0.54344000E+01  0.13113243E+07  0.13113301E+07  0.13113359E+07  0.67459142E+04  0.19859434E+05  0.25240900E+05
  0.54388000E+01  0.13074681E+07  0.13074739E+07  0.13074797E+07  0.67513761E+04  0.19875513E+05  0.25261336E+05
  0.54433000E+01  0.13034984E+07  0.13035042E+07  0.13035100E+07  0.67569621E+04  0.19891958E+05  0.25282237E+05
  0.54478000E+01  0.12993892E+07  0.12993892E+07  0.12993951E+07  0.67625481E+04  0.19908403E+05  0.25303138E+05
  0.54522000E+01  0.12951090E+07  0.12951149E+07  0.12951208E+07  0.67680100E+04  0.20304030E+05  0.25323574E+05
  0.54567000E+01  0.12907152E+07  0.12907211E+07  0.12907270E+07  0.67735960E+04  0.20320788E+05  0.25344475E+05
  0.54611000E+01  0.12861643E+07  0.12861643E+07  0.12861703E+07  0.67790578E+04  0.20337174E+05  0.25364912E+05
  0.54656000E+01  0.12814957E+07  0.12815017E+07  0.12815077E+07  0.67846439E+04  0.20353932E+05  0.25385813E+05
  0.54700000E+01  0.12766843E+07  0.12766843E+07  0.12766904E+07  0.67901057E+04  0.20370317E+05  0.25406249E+05
  0.54745000E+01  0.12717752E+07  0.12717752E+07  0.12717812E+07  0.67956917E+04  0.20387075E+05  0.25427150E+05
  0.54789000E+01  0.12667259E+07  0.12667320E+07  0.12667381E+07  0.68011536E+04  0.20403461E+05  0.25447587E+05
  0.54834000E+01  0.12615933E+07  0.12615994E+07  0.12616055E+07  0.68067396E+04  0.20420219E+05  0.25468488E+05
  0.54878000E+01  0.12563357E+07  0.12563419E+07  0.12563480E+07  0.68122015E+04  0.20436605E+05  0.25488924E+05
  0.54923000E+01  0.12510036E+07  0.12510036E+07  0.12510098E+07  0.68177875E+04  0.20453363E+05  0.25509825E+05
  0.54968000E+01  0.12455725E+07  0.12455788E+07  0.12455850E+07  0.68233735E+04  0.20470121E+05  0.25530726E+05
  0.55012000E+01  0.12400308E+07  0.12400308E+07  0.12400370E+07  0.68288354E+04  0.20486506E+05  0.25551162E+05
  0.55057000E+01  0.12344221E+07  0.12344221E+07  0.12344284E+07  0.68344214E+04  0.20503264E+05  0.25572063E+05
  0.55101000E+01  0.12287002E+07  0.12287066E+07  0.12287129E+07  0.68398833E+04  0.20519650E+05  0.25592500E+05
  0.55146000E+01  0.12229209E+07  0.12229209E+07  0.12229337E+07  0.68454693E+04  0.20536408E+05  0.25613401E+05
  0.55190000E+01  0.12170386E+07  0.12170386E+07  0.12170450E+07  0.68509312E+04  0.20552794E+05  0.25633837E+05
  0.55235000E+01  0.12110959E+07  0.12110959E+07  0.12111024E+07  0.68565172E+04  0.20569552E+05  0.25654738E+05
  0.55279000E+01  0.12050607E+07  0.12050607E+07  0.12050672E+07  0.68619791E+04  0.20585937E+05  0.25675175E+05
  0.55324000E+01  0.11989688E+07  0.11989688E+07  0.11989754E+07  0.68675651E+04  0.20602695E+05  0.25696076E+05
  0.55368000E+01  0.11927953E+07  0.11927953E+07  0.11928019E+07  0.68730270E+04  0.20619081E+05  0.25716512E+05
  0.55413000E+01  0.11865757E+07  0.11865823E+07  0.11865890E+07  0.68786130E+04  0.20635839E+05  0.25737413E+05
  0.55458000E+01  0.11803072E+07  0.11803072E+07  0.11803206E+07  0.68841990E+04  0.20652597E+05  0.25758314E+05
  0.55502000E+01  0.11739680E+07  0.11739680E+07  0.11739815E+07  0.68896609E+04  0.20668983E+05  0.25778750E+05
  0.55547000E+01  0.11676132E+07  0.11676132E+07  0.11676200E+07  0.68952469E+04  0.20685741E+05  0.25799651E+05
  0.55591000E+01  0.11611933E+07  0.11612002E+07  0.11612070E+07  0.69007087E+04  0.20702126E+05  0.26125662E+05
  0.55636000E+01  0.11547771E+07  0.11547771E+07  0.11547840E+07  0.69062947E+04  0.20718884E+05  0.26146810E+05
  0.55680000E+01  0.11483089E+07  0.11483089E+07  0.11483158E+07  0.69117566E+04  0.20735270E+05  0.26167488E+05
  0.55725000E+01  0.11418436E+07  0.11418505E+07  0.11418575E+07  0.69173426E+04  0.20752028E+05  0.26188637E+05
  0.55769000E+01  0.11353470E+07  0.11353470E+07  0.11353540E+07  0.69228045E+04  0.20768414E+05  0.26209315E+05
  0.55814000E+01  0.11288529E+07  0.11288600E+07  0.11288671E+07  0.69283905E+04  0.20785172E+05  0.26230463E+05
  0.55858000E+01  0.11223278E+07  0.11223349E+07  0.11223421E+07  0.69338524E+04  0.20801557E+05  0.26251142E+05
  0.55903000E+01  0.11158119E+07  0.11158119E+07  0.11158191E+07  0.69394384E+04  0.20818315E+05  0.26272290E+05
  0.55948000E+01  0.11092706E+07  0.11092706E+07  0.11092779E+07  0.69450244E+04  0.20835073E+05  0.26293438E+05
  0.55992000E+01  0.11026839E+07  0.11026912E+07  0.11026985E+07  0.69504863E+04  0.20851459E+05  0.26314116E+05
  0.56037000E+01  0.10960910E+07  0.10960984E+07  0.10961057E+07  0.69560723E+04  0.20868217E+05  0.26335265E+05
  0.56081000E+01  0.10894449E+07  0.10894523E+07  0.10894597E+07  0.69615342E+04  0.20884603E+05  0.26355943E+05
  0.56126000E+01  0.10827766E+07  0.10827840E+07  0.10827915E+07  0.69671202E+04  0.20901361E+05  0.26377091E+05
  0.56170000E+01  0.10760391E+07  0.10760466E+07  0.10760541E+07  0.69725821E+04  0.20917746E+05  0.26397770E+05
  0.56215000E+01  0.10692700E+07  0.10692776E+07  0.10692852E+07  0.69781681E+04  0.20934504E+05  0.26418918E+05
  0.56259000E+01  0.10624226E+07  0.10624303E+07  0.10624379E+07  0.69836300E+04  0.20950890E+05  0.26439596E+05
  0.56304000E+01  0.10555413E+07  0.10555413E+07  0.10555490E+07  0.69892160E+04  0.20967648E+05  0.26460745E+05
  0.56348000E+01  0.10485797E+07  0.10485797E+07  0.10485875E+07  0.69946778E+04  0.20984034E+05  0.26481423E+05
  0.56393000E+01  0.10415740E+07  0.10415819E+07  0.10415897E+07  0.70002639E+04  0.21000792E+05  0.26502571E+05
  0.56437000E+01  0.10345095E+07  0.10345174E+07  0.10345253E+07  0.70057257E+04  0.21017177E+05  0.26523250E+05
  0.56482000E+01  0.10274224E+07  0.10274303E+07  0.10274383E+07  0.70113117E+04  0.21033935E+05  0.26544398E+05
  0.56527000E+01  0.10203094E+07  0.10203174E+07  0.10203255E+07  0.70168978E+04  0.21050693E+05  0.26565546E+05
  0.56571000E+01  0.10131767E+07  0.10131767E+07  0.10131848E+07  0.70223596E+04  0.21067079E+05  0.26586224E+05
  0.56616000E+01  0.10060687E+07  0.10060687E+07  0.10060769E+07  0.70279456E+04  0.21083837E+05  0.26607373E+05
  0.56660000E+01  0.99897499E+06  0.99897499E+06  0.99898324E+06  0.70334075E+04  0.21100223E+05  0.26628051E+05
  0.56705000E+01  0.99196544E+06  0.99196544E+06  0.99197377E+06  0.70389935E+04  0.21116981E+05  0.26649199E+05
  0.56749000E+01  0.98502379E+06  0.98502379E+06  0.98503219E+06  0.81342364E+04  0.21133366E+05  0.26669878E+05
  0.56794000E+01  0.97822130E+06  0.97822130E+06  0.97823823E+06  0.81406866E+04  0.21150124E+05  0.26691026E+05
  0.56838000E+01  0.97156099E+06  0.97156099E+06  0.97156953E+06  0.81469934E+04  0.21166510E+05  0.26711704E+05
  0.56883000E+01  0.96509877E+06  0.96509877E+06  0.96510738E+06  0.81534436E+04  0.21183268E+05  0.26732853E+05
  0.56927000E+01  0.95884012E+06  0.95884012E+06  0.95885748E+06  0.81597504E+04  0.21199654E+05  0.27062831E+05
  0.56972000E+01  0.95285950E+06  0.95285950E+06  0.95286825E+06  0.81662006E+04  0.21605736E+05  0.27084223E+05
  0.57017000E+01  0.94716404E+06  0.94716404E+06  0.94717285E+06  0.81726508E+04  0.21622802E+05  0.27105616E+05
  0.57061000E+01  0.94177066E+06  0.94177066E+06  0.94177953E+06  0.81789576E+04  0.21639488E+05  0.27126534E+05
  0.57106000E+01  0.93674652E+06  0.93674652E+06  0.93675546E+06  0.81854078E+04  0.21656553E+05  0.27147926E+05
  0.57150000E+01  0.93208430E+06  0.93208430E+06  0.93209330E+06  0.81917146E+04  0.21673240E+05  0.27168844E+05
  0.57195000E+01  0.92784249E+06  0.92784249E+06  0.92786060E+06  0.81981648E+04  0.21690305E+05  0.27190237E+05
  0.57239000E+01  0.92402349E+06  0.92402349E+06  0.92403260E+06  0.82044716E+04  0.21706992E+05  0.27211154E+05
  0.57284000E+01  0.92066734E+06  0.92066734E+06  0.92067649E+06  0.82109218E+04  0.21724057E+05  0.27232547E+05
  0.57328000E+01  0.91776733E+06  0.91776733E+06  0.91778572E+06  0.82172286E+04  0.21740743E+05  0.27253464E+05
  0.57373000E+01  0.91537155E+06  0.91537155E+06  0.91538079E+06  0.82236788E+04  0.21757809E+05  0.27274857E+05
  0.57417000E+01  0.91345426E+06  0.91346353E+06  0.91347279E+06  0.82299856E+04  0.21774495E+05  0.27295774E+05
  0.57462000E+01  0.91206208E+06  0.91207138E+06  0.91208068E+06  0.82364358E+04  0.21791561E+05  0.27317167E+05
  0.57507000E+01  0.91118384E+06  0.91119316E+06  0.91120248E+06  0.82428860E+04  0.21808626E+05  0.27338560E+05
  0.57551000E+01  0.91080764E+06  0.91080764E+06  0.91081698E+06  0.82491928E+04  0.21825313E+05  0.27359477E+05
  0.57596000E+01  0.91094951E+06  0.91094951E+06  0.91095886E+06  0.82556430E+04  0.21842378E+05  0.27380870E+05
  0.57640000E+01  0.91157990E+06  0.91158926E+06  0.91159862E+06  0.82619498E+04  0.21859064E+05  0.27401787E+05
  0.57685000E+01  0.91273174E+06  0.91273174E+06  0.91274110E+06  0.82684000E+04  0.21876130E+05  0.27423180E+05
  0.57729000E+01  0.91434574E+06  0.91434574E+06  0.91435510E+06  0.82747068E+04  0.21892816E+05  0.27444098E+05
  0.57774000E+01  0.91644388E+06  0.91644388E+06  0.91645323E+06  0.82811570E+04  0.21909882E+05  0.27465490E+05
  0.57818000E+01  0.91896539E+06  0.91897473E+06  0.91898408E+06  0.82874638E+04  0.21926568E+05  0.27486408E+05
  0.57863000E+01  0.92194045E+06  0.92194045E+06  0.92194977E+06  0.82939140E+04  0.21943634E+05  0.27507801E+05
